iter	Passed	Remaining
741	1138	395
742	1139	394
743	1139	392
744	1140	390
745	1141	388
746	1142	386
747	1143	385
748	1144	383
749	1145	381
750	1151	381
751	1152	379
752	1152	378
753	1154	376
754	1154	374
755	1157	373
756	1158	371
757	1159	370
758	1159	368
759	1160	366
760	1166	366
761	1167	364
762	1169	363
763	1170	361
764	1171	359
765	1171	358
766	1172	356
767	1174	354
768	1176	353
769	1182	353
770	1183	351
771	1185	350
772	1186	348
773	1187	346
774	1188	344
775	1189	343
776	1193	342
777	1194	340
778	1195	339
779	1196	337
780	1197	335
781	1198	334
782	1199	332
783	1200	330
784	1201	329
785	1203	327
786	1204	325
787	1205	324
788	1211	323
789	1212	322
790	1213	320
791	1214	318
792	1215	317
793	1216	315
794	1217	313
795	1217	312
796	1231	313
797	1232	312
798	1233	310
799	1234	308
800	1234	306
801	1235	305
802	1236	303
803	1237	301
804	1239	300
805	1240	298
806	1241	296
807	1242	295
808	1243	293
809	1245	292
810	1245	290
811	1248	289
812	1254	288
813	1255	286
814	1262	286
815	1279	288
816	1289	288
817	1290	287
818	1293	285
819	1306	286
820	1307	285
821	1309	283
822	1310	281
823	1319	281
824	1322	280
825	1324	278
826	1325	277
827	1326	275
828	1327	273
829	1328	272
830	1334	271
831	1335	269
832	1336	267
833	1336	266
834	1338	264
835	1339	262
836	1340	261
837	1341	259
838	1342	257
839	1343	255
840	1344	254
841	1353	253
842	1354	252
843	1355	250
844	1356	248
845	1357	247
846	1357	245
847	1358	243
848	1359	241
849	1364	240
850	1365	239
851	1366	237
852	1367	235
853	1368	233
854	1369	232
855	1370	230
856	1371	228
857	1372	227
858	1373	225
859	1373	223
860	1374	221
861	1375	220
862	1378	218
863	1379	217
864	1380	215
865	1381	213
866	1382	212
867	1385	210
868	1387	209
869	1388	207
870	1396	206
871	1397	205
872	1398	203
873	1399	201
874	1400	200
875	1401	198
876	1402	196
877	1403	194
878	1404	193
879	1405	191
880	1406	189
881	1407	188
882	1411	187
883	1413	185
884	1414	183
885	1415	182
886	1416	180
887	1417	178
888	1418	177
889	1418	175
890	1419	173
891	1420	172
892	1421	170
893	1422	168
894	1427	167
895	1428	165
896	1429	164
897	1430	162
898	1432	160
899	1433	159
900	1434	157
901	1435	155
902	1436	154
903	1436	152
904	1437	150
905	1439	149
906	1441	147
907	1443	146
908	1444	144
909	1445	142
910	1446	141
911	1446	139
912	1447	137
913	1448	136
914	1449	134
915	1450	133
916	1451	131
917	1452	129
918	1453	128
919	1459	126
920	1460	125
921	1461	123
922	1462	121
923	1462	120
924	1463	118
925	1464	117
926	1465	115
927	1466	113
928	1467	112
929	1468	110
930	1468	108
931	1471	107
932	1472	105
933	1473	104
